part_id;coaxiality;diameter;length
208502;31.1;0;163.642
208404;35.7;0.002;163.663
207302;30.3;0.001;163.668
207304;26.4;0;163.654
207402;30.3;0.005;163.654
224904;15.5;-0.0065;163.668
225002;12.5;0.0015;163.667
224902;38;-0.0125;163.663
224804;47.3;0.009;163.668
225001;18.9;-0.0055;163.69
225003;7.41;0.008;163.691
224903;19.2;-0.0055;163.681
224803;37;-0.0035;163.663
224801;41;-0.0005;163.655
224603;42.6;-0.016;163.669
224601;18.9;-0.014;163.669
224503;34.1;-0.0015;163.663
224501;32.8;-0.016;163.663
224403;39.4;0.002;163.687
224701;13;-0.001;163.669
224401;33.4;0.0125;163.69
224303;61.5;0.018;163.686
224703;30;-0.013;163.686
224704;44.6;-0.004;163.674
224702;28.7;-0.0005;163.671
224604;36.7;0.0055;163.708
224602;21;-0.011;163.674
224504;14;-0.017;163.685
224502;15.8;-0.0055;163.666
224404;44;-0.0035;163.678
224402;37.4;-0.0065;163.686
224304;26.9;0.0155;163.68
224302;56.1;-0.003;163.685
224301;50.4;0.008;163.724
224204;35.3;0.0135;163.682
224201;57;0.001;163.713
224202;52.3;-0.007;163.683
224103;64.1;0.004;163.706
224203;41.8;0.0005;163.701
224104;56.5;0.001;163.721
224001;70.2;-0.004;163.702
224003;30.1;0.0015;163.715
224101;63.9;0.0035;163.728
223804;40.2;-0.0115;163.707
223803;29.6;-0.0095;163.682
223904;40.8;0.0045;163.725
223903;58.3;0.0015;163.638
223902;28.1;0.0045;163.687
223901;60;0.001;163.733
224002;43.7;0.0115;163.71
223802;29.2;-0.009;163.676
224102;48;0.005;163.657
224004;66.3;-0.005;163.741
223504;19.2;-0.0115;163.661
223702;33.1;-0.0135;163.644
223704;45;-0.0155;163.705
223602;23.8;-0.016;163.656
223801;57.7;-0.0035;163.755
223304;28.8;0.017;163.654
223302;24.4;0.027;163.705
223402;19.6;-0.005;163.667
223404;21.2;-0.0105;163.658
223604;41;-0.013;163.658
223502;20.6;-0.0065;163.669
223301;16;0.0205;163.671
223503;31.8;0.0135;163.667
223701;11.8;-0.0055;163.654
223303;22.5;0.02;163.654
223603;3.79;-0.018;163.666
223403;17.8;-0.0055;163.657
223401;4.79;-0.006;163.642
223601;49.3;-0.0115;163.647
223501;31.7;-0.006;163.661
223703;29.2;-0.0115;163.639
223202;41.9;0.0175;163.676
223104;7.57;0.013;163.656
223102;11.8;0.0175;163.667
223204;39.7;0.0165;163.674
223004;6.22;0.018;163.679
223203;36.9;0.0135;163.667
223201;26.9;0.015;163.662
223103;30.5;0.014;163.682
223003;75.3;0.015;163.68
223001;54.3;0.012;163.681
222903;60;0.005;163.704
223101;9.87;0.018;163.665
222901;31.9;0.0005;163.696
222802;57.3;0.0055;163.692
222902;23.4;0.005;163.69
222804;62.6;0.0075;163.689
222904;34.3;0.007;163.687
223002;29.5;0.018;163.666
222801;46.4;0.005;163.68
222803;24.3;0.0065;163.684
207502;47.8;-0.0015;163.633
207801;48.9;0.0005;163.608
208001;37.5;0.011;163.622
207901;20.4;0.008;163.633
207903;29.6;-0.0015;163.633
208003;36.9;0.008;163.61
207803;45.9;-0.008;163.615
208101;56.8;0.013;163.615
208103;36.7;-0.004;163.658
207802;39.2;-0.003;163.617
207804;34.2;-0.005;163.621
208201;45.4;-0.0025;163.617
208203;46.5;-0.0105;163.612
207902;24.9;0.0015;163.627
207904;19.6;0.0005;163.615
208004;17.3;0.0105;163.674
207203;44.8;-0.001;163.646
225004;27.9;0.003;163.722
208202;40.9;-0.006;163.676
208204;23.4;0.002;163.624
207504;31.6;-0.001;163.625
207602;24.3;-0.002;163.673
207702;35.7;-0.005;163.656
207704;33.8;0.0015;163.623
207703;32.7;-0.0055;163.614
207701;38.2;0.0045;163.63
207603;5.73;-0.0025;163.615
207601;38.7;0.002;163.626
207503;50.1;-0.0015;163.66
207403;41.2;0.0015;163.615
207401;12.7;0.001;163.618
207303;40.3;-0.011;163.624
207301;21.4;-0.002;163.625
206503;44.1;-0.0035;163.629
206501;71.3;0.0045;163.719
206403;24.1;-0.0065;163.637
207204;50.2;-0.0075;163.632
207202;40.3;-0.001;163.617
207201;57.6;-0.001;163.63
206201;33.4;0.0085;163.609
206203;13.6;-0.007;163.628
206301;12.5;0;163.645
206303;15.7;-0.0115;163.614
206401;22.5;0.0015;163.62
206504;45.9;-0.008;163.609
206502;31.5;-0.003;163.687
206404;35.6;-0.0075;163.673
206402;28.8;-0.002;163.622
206304;47.7;-0.0155;163.608
206302;37.7;-0.004;163.617
206204;17.8;-0.012;163.612
206202;9.26;-0.0035;163.613
206104;33;-0.007;163.616
206103;41.7;-0.008;163.62
206102;64.4;0.0065;163.61
206701;62.8;0.004;163.479
206703;49.8;-0.0035;163.612
206801;24.1;-0.005;163.612
206803;20.6;-0.0125;163.613
206901;65;-0.003;163.619
206903;23.9;-0.008;163.626
207001;22.5;0.002;163.644
207003;46.5;-0.0005;163.62
207101;47.4;-0.0105;163.643
207103;64.3;0.0005;163.622
207004;22.8;0.003;163.62
207002;9.83;-0.007;163.653
206904;55.9;-0.007;163.692
206902;30.9;-0.0045;163.611
206804;25.1;-0.001;163.603
206802;6.54;-0.005;163.646
206704;13.2;-0.01;163.601
206702;14.3;-0.0025;163.622
206604;25.5;-0.011;163.623
206602;41.7;0.002;163.607
206603;67.6;-0.0075;163.608
205101;35.3;0.001;163.634
205103;30.7;-0.0065;163.702
205201;17.8;0;163.692
205203;22;-0.0095;163.668
205301;17.9;0.0005;163.657
205303;37;-0.006;163.651
205401;29.4;0.0055;163.636
205403;53.8;-0.004;163.742
205501;48.3;-0.0045;163.692
205503;62.2;-0.0115;163.646
205202;21.1;-0.0005;163.673
205304;34.3;-0.0105;163.652
205204;44;-0.0075;163.646
205402;54.1;-0.0045;163.636
205404;45.1;-0.008;163.695
205502;37.5;-0.008;163.658
205504;35.4;-0.0095;163.701
205903;12.7;-0.014;163.653
205901;41.8;-0.005;163.623
205803;20.1;-0.012;163.69
205801;66.4;0;163.698
205703;39.2;-0.0095;163.645
205701;30.6;-0.0015;163.649
205603;46.3;-0.0095;163.646
206002;41.5;-0.01;163.62
206004;22.2;-0.0135;163.61
205904;49.2;-0.0175;163.639
205902;46;-0.021;163.676
205804;36.7;-0.0135;163.644
205802;31.5;-0.0115;163.743
205704;58.2;-0.0125;163.646
205702;35.3;-0.003;163.655
205604;20.2;-0.011;163.656
205602;40.1;-0.0115;163.734
205004;34.6;-0.0025;163.632
205002;46.7;-0.002;163.639
204903;66.6;-0.0005;163.636
204901;55.6;0.0015;163.64
204803;25.1;-0.0095;163.639
204801;23.1;-0.002;163.643
204703;19.6;-0.0085;163.638
204603;18;-0.0015;163.672
204601;20;0.009;163.659
205001;5.6;0;163.669
204004;18;-0.0035;163.665
205003;15.9;-0.0025;163.648
204904;66.6;0.002;163.644
204804;45.8;-0.0045;163.647
204802;27.9;0;163.637
204704;47.4;-0.0015;163.686
204702;23.9;-0.0075;163.639
204604;36.5;-0.0025;163.681
204602;59.2;0.003;163.633
204503;37.1;0.0045;163.711
204502;13.3;0.0075;163.736
204404;17;-0.005;163.681
204402;18.8;-0.004;163.74
204304;55.5;-0.006;163.653
204302;32.5;-0.0065;163.712
204204;30.8;-0.0055;163.669
204202;23.2;-0.0045;163.668
204104;46.6;-0.0065;163.685
204103;71.6;-0.007;163.707
204504;21.4;0.004;163.658
204501;43;0.0085;163.669
204403;16.5;-0.0065;163.663
204401;40;-0.0055;163.66
204303;46.6;-0.0065;163.732
204301;46;-0.006;163.666
204203;13.1;-0.0035;163.668
204102;63.9;-0.0015;163.739
204201;16;-0.0035;163.671
203402;55.3;-0.0095;163.665
203304;17.1;-0.007;163.683
203504;49.7;-0.01;163.66
203404;67.7;-0.007;163.695
204101;49.8;-0.0025;163.674
203502;8.75;-0.0105;163.665
203102;65;-0.0125;163.668
203104;68.6;-0.0105;163.666
203202;28.2;-0.009;163.688
203204;39.1;-0.0115;163.669
203302;38.9;-0.0055;163.668
203501;3.89;-0.0055;163.673
203401;45.6;-0.006;163.694
203303;23.9;-0.0045;163.678
203403;63;-0.0075;163.683
203602;31.9;-0.0105;163.66
204003;38.4;-0.01;163.691
204001;23.6;-0.003;163.671
203903;42.2;-0.006;163.713
203901;25.9;-0.003;163.681
203801;39.5;-0.0075;163.674
203803;22.2;-0.01;163.666
203604;37.4;-0.0095;163.668
203702;48.8;-0.0035;163.684
204002;11.8;-0.002;163.678
203904;31.2;-0.0055;163.672
203902;20;-0.005;163.68
203804;27.3;-0.009;163.69
203802;18.7;-0.0115;163.679
203704;35.9;-0.0055;163.671
203703;37.2;-0.005;163.674
203701;38.5;-0.007;163.667
203603;11.3;-0.005;163.664
203003;49.9;-0.006;163.698
203001;49.6;-0.004;163.676
202903;13.7;-0.0075;163.68
202901;25.8;-0.0065;163.673
202803;61;-0.0025;163.678
203301;24.4;-0.0085;163.693
202801;45.2;-0.006;163.493
203601;60;-0.0045;163.665
203103;57.4;-0.0095;163.672
203004;48.5;-0.0075;163.738
203002;50.6;-0.01;163.688
202902;40.6;-0.007;163.699
202804;49;-0.011;163.697
202703;43.8;0.0015;163.67
202702;38.2;0.005;163.749
202701;42.1;0.0065;163.693
202604;43.5;-0.001;163.684
202603;2.96;-0.0005;163.729
202602;8.22;-0.0025;163.661
202601;13.4;-0.002;163.694
203101;66.8;-0.0115;163.691
203503;17.2;-0.007;163.683
202504;18.3;-0.003;163.743
202503;18.9;-0.0025;163.656
202501;12.1;0;163.669
202304;35.3;-0.006;163.663
202401;43.7;-0.0045;163.67
202303;39.9;-0.0055;163.669
202402;42.9;-0.008;163.656
202301;39;-0.002;163.725
202302;65.1;-0.0065;163.661
202403;17.3;-0.0055;163.671
202404;18.9;-0.0075;163.661
202104;35.6;-0.0075;163.743
202201;4.94;-0.0025;163.667
202204;29.3;-0.006;163.699
202202;29.4;-0.008;163.667
202103;47.8;-0.003;163.739
202203;29.9;-0.0065;163.703
202102;23.4;-0.005;163.672
201903;40.2;-0.006;163.662
202003;48.6;-0.004;163.692
202002;25.1;-0.0065;163.672
201904;16.4;-0.0075;163.71
202001;41.9;-0.0085;163.706
201902;41;-0.0075;163.669
201901;44.4;-0.0055;163.677
202502;50.4;-0.004;163.666
201804;10.8;-0.008;163.689
201803;24.9;-0.006;163.713
201802;32.1;-0.006;163.655
201801;22.2;-0.0045;163.672
201704;42.8;-0.002;163.73
201703;42.7;-0.007;163.702
201702;41.8;-0.0075;163.73
201701;45.6;-0.005;163.682
201604;6.32;-0.003;163.715
201603;8.22;-0.004;163.674
201602;25;-0.0025;163.709
201601;38.3;-0.003;163.67
201504;26.6;-0.0005;163.675
201503;29.5;-0.0015;163.661
201502;56.7;-0.0025;163.661
201404;34;-0.002;163.672
201403;22.7;0.001;163.669
201402;34.4;-0.0015;163.662
201401;33.3;-0.0025;163.653
201304;54.6;0.008;163.663
201303;41.9;0.002;163.66
201302;49.4;0.0005;163.701
201301;55.1;0.0025;163.667
201202;44.2;-0.001;163.662
201201;46.9;0.005;163.654
201104;42.3;0.005;163.714
201103;45.6;0.0055;163.652
201102;35.9;0.0095;163.656
201101;21.4;0.0065;163.654
202101;38.7;-0.002;163.662
201004;24.1;-0.0035;163.639
201003;17;-0.003;163.629
201002;45.8;-0.0045;163.646
201001;20.5;-0.006;163.637
200904;50.5;-0.0085;163.646
200903;25.1;-0.0085;163.633
200902;52.5;-0.003;163.645
200901;21.6;-0.005;163.639
200804;44.7;-0.003;163.634
202004;44;-0.008;163.646
200803;24;-0.0025;163.629
200802;36.6;-0.0055;163.628
200801;28.2;-0.002;163.58
200704;13.9;-0.005;163.629
200703;55.1;-0.0075;163.629
200702;35.6;-0.0025;163.692
200701;6.31;-0.0005;163.656
200604;38;-0.006;163.644
200603;7.72;-0.0025;163.689
200602;22.5;-0.0015;163.678
200601;7.31;0;163.694
201501;23.6;-0.005;163.653
200501;49.6;0.003;163.675
200503;45.5;0;163.659
200502;48.7;-0.001;163.673
200504;39.1;-0.0005;163.648
200404;18.4;-0.002;163.659
200403;32;-0.0005;163.665
200402;13.2;0.001;163.668
200401;9.09;0;163.677
200304;33.9;0.0005;163.658
200303;44;0;163.653
200302;22.3;0.0005;163.649
200301;34.1;0.0035;163.653
200204;42.7;0.004;163.646
200203;44.4;0.0055;163.652
200202;32.2;0.0045;163.654
200201;14.9;0.008;163.671
200104;28.8;0.0015;163.66
200103;46.2;0.0035;163.66
200102;29.2;0.0055;163.656
200101;20.3;0.007;163.649
221304;42.2;-0.0045;163.65
221303;36;-0.0055;163.662
222404;38.7;0.0055;163.662
222304;8.92;-0.001;163.702
222703;47.7;0.006;163.68
222502;13.8;0;163.666
222501;26.5;-0.0015;163.701
222603;19.3;0.005;163.652
222702;12.7;0.004;163.676
221504;43.3;0.001;163.647
221503;29.1;-0.0005;163.653
222504;37.2;0;163.662
222704;41.5;0.006;163.662
222602;36.6;0.0035;163.726
221702;24.9;0.0025;163.648
222604;40.7;0.0025;163.646
221502;7.67;-0.001;163.645
221704;37.2;0.0035;163.656
221602;35.6;-0.008;163.663
222401;30.5;0;163.689
222701;49.2;0.0065;163.65
222402;12.9;0.001;163.659
222301;4.76;0.0015;163.656
221703;58.7;0.0015;163.674
222303;32.2;0.0005;163.662
222503;18.9;0.003;163.653
222403;41.9;0.0015;163.662
222601;29.9;0.003;163.668
221701;32.5;0.0005;163.663
221403;39.5;-0.002;163.677
221603;43;-0.003;163.662
221601;43.5;-0.005;163.661
221501;56.3;-0.001;163.658
221401;66.5;-0.003;163.659
221202;30.9;-0.0055;163.661
221201;10.3;-0.0025;163.661
221204;31.5;-0.004;163.659
221103;47.4;-0.001;163.66
221104;26.4;0.0015;163.654
221203;22.8;-0.001;163.664
221102;24.8;-0.0025;163.658
221004;37.5;-0.006;163.652
221002;45.6;-0.0045;163.66
220802;26.3;-0.0005;163.658
220804;38.7;-0.0005;163.658
220904;31;0.0005;163.658
221604;49.8;-0.007;163.654
220902;31.8;0.002;163.653
222302;15.5;0.005;163.723
221101;49.9;0;163.641
221302;50.8;-0.006;163.652
221404;42.2;-0.0025;163.658
221402;39.6;0.0005;163.66
221301;12.4;-0.005;163.656
218604;35.8;0.01;163.651
218302;40;0.011;163.661
218101;26.9;0.002;163.646
219302;32.6;0.001;163.654
216903;44;0.005;163.658
219304;30.1;0.002;163.639
216401;46.7;0.009;163.657
218204;104;0.006;163.651
217502;28.6;0.005;163.662
218001;23.8;0.008;163.655
217601;20.7;0.004;163.644
218603;53.1;0.009;163.669
218903;42.4;0.004;163.667
218701;32.7;0.002;163.658
216301;31.4;0.003;163.652
217204;36.3;0.008;163.654
216303;35.7;0.007;163.656
215903;43.8;0.002;163.655
217104;85.8;0.003;163.653
216703;29.8;0.003;163.665
216802;33.5;0.008;163.668
219604;56.5;0.005;163.65
217002;27.3;0.006;163.653
217602;47.1;0.004;163.651
217203;72.3;0.002;163.65
216202;24.6;0.005;163.657
217202;30.5;0.004;163.654
216702;44.7;0.005;163.661
216601;36.3;0.006;163.654
216503;40;0.004;163.666
216104;10.5;0.001;163.655
216701;37.3;0.006;163.664
216904;27.5;0.003;163.662
217604;33.2;0.003;163.642
216502;39.3;0.003;163.657
217504;45.1;0.003;163.649
216504;2.9;0.002;163.656
217004;31.5;0.007;163.647
217903;46;0.009;163.651
215204;47.1;0.005;163.668
215701;51.7;0.001;163.644
217401;24;0.01;163.66
217503;35.9;0.009;163.647
216801;16.7;0.011;163.648
217304;33.6;0.007;163.637
216101;26;0.009;163.661
216204;21.7;0.014;163.645
217404;47.7;0.008;163.649
216004;48.4;0.008;163.641
216304;65.2;0.012;163.638
216403;43.4;0.01;163.649
215801;78.7;0.021;163.64
215804;24.7;0.003;163.653
215904;45.4;0.007;163.641
215901;31.9;0.003;163.64
219702;31.4;0.003;163.659
219502;34.9;0.006;163.679
217501;30.7;0.013;163.658
215902;39.9;0.001;163.646
216803;24.2;0.007;163.658
217201;48.5;0.006;163.652
216002;21.2;0.007;163.659
215704;45.6;0.005;163.654
216404;53.7;0.011;163.662
216001;18.2;0.004;163.653
217101;35.1;0.012;163.659
215703;60.4;0.002;163.674
216402;67.8;0.005;163.673
217001;24.1;0.006;163.646
217701;20.9;0.009;163.653
217402;30.8;0.003;163.663
215702;44.8;0;163.682
217302;46.6;0.005;163.666
217303;34.4;0.002;163.67
216003;10.2;0.004;163.664
216203;16.4;0.001;163.648
216201;16.9;0.004;163.672
216602;35.7;0.011;163.652
220402;26.3;0.002;163.653
215803;47.2;0.016;163.653
217901;68.1;0.01;163.648
215802;29.3;0.021;163.653
216103;36.3;0.004;163.654
221801;21.9;0.088;163.674
220103;34.8;0.007;163.657
219903;19;0.004;163.676
215104;28.4;0.007;163.644
220704;34.2;0.012;163.666
216501;84.8;0.002;163.63
220001;59.6;-0.004;163.662
